Semente;Valor de N;Algoritmo;Data Inicio;Tempo de Execucao(ns);Memoria Gasta;Comparacoes;Colisoes
3;10000;Encadeamento Coalescido;15/05/2019 16:19;5500;877298808;1;0
3;50000;Sondagem Linear;15/05/2019 16:19;4200;877298808;1;0
3;50000;Sondagem Quadratica;15/05/2019 16:19;3800;877298808;1;0
3;50000;Duplo Hashing;15/05/2019 16:19;11000;877298808;1;0
3;50000;Encadeamento Separado;15/05/2019 16:19;5000;877298808;1;0
3;50000;Encadeamento Coalescido;15/05/2019 16:19;7300;877298808;1;0
3;100000;Sondagem Linear;15/05/2019 16:19;4800;877298808;1;0
3;100000;Sondagem Quadratica;15/05/2019 16:19;5500;877642560;1;0
3;100000;Duplo Hashing;15/05/2019 16:19;4800;877642560;1;0
3;100000;Encadeamento Separado;15/05/2019 16:19;4000;877642560;1;0
3;100000;Encadeamento Coalescido;15/05/2019 16:19;5600;877642560;1;0
3;500000;Sondagem Linear;15/05/2019 16:19;13200;877642560;1;0
3;500000;Sondagem Quadratica;15/05/2019 16:19;4900;877642560;1;0
3;500000;Duplo Hashing;15/05/2019 16:19;4400;877991496;1;0
3;500000;Encadeamento Separado;15/05/2019 16:19;5000;877991496;1;0
3;500000;Encadeamento Coalescido;15/05/2019 16:19;5000;877991496;1;0
3;1000000;Sondagem Linear;15/05/2019 16:19;4700;877991496;1;0
3;1000000;Sondagem Quadratica;15/05/2019 16:19;6500;877991496;1;0
3;1000000;Duplo Hashing;15/05/2019 16:19;4400;877991496;1;0
3;1000000;Encadeamento Separado;15/05/2019 16:19;5000;877991496;1;0
3;1000000;Encadeamento Coalescido;15/05/2019 16:19;7300;878343456;1;0
4;1000;Sondagem Linear;15/05/2019 16:19;5800;878343456;1;0
4;1000;Sondagem Quadratica;15/05/2019 16:19;4400;878343456;1;0
4;1000;Duplo Hashing;15/05/2019 16:19;5400;878343456;1;0
4;1000;Encadeamento Separado;15/05/2019 16:19;5000;878343456;1;0
4;1000;Encadeamento Coalescido;15/05/2019 16:19;6700;878343456;1;0
4;5000;Sondagem Linear;15/05/2019 16:19;4600;878695400;1;0
4;5000;Sondagem Quadratica;15/05/2019 16:19;4300;878695400;1;0
4;5000;Duplo Hashing;15/05/2019 16:19;3900;878695400;1;0
4;5000;Encadeamento Separado;15/05/2019 16:19;4300;878695400;1;0
4;5000;Encadeamento Coalescido;15/05/2019 16:19;6800;878695400;1;0
4;10000;Sondagem Linear;15/05/2019 16:19;3300;878695400;1;0
4;10000;Sondagem Quadratica;15/05/2019 16:19;3500;879046896;1;0
4;10000;Duplo Hashing;15/05/2019 16:19;72900;879046896;1;0
4;10000;Encadeamento Separado;15/05/2019 16:19;8400;879046896;1;0
4;10000;Encadeamento Coalescido;15/05/2019 16:19;13600;879046896;1;0
4;50000;Sondagem Linear;15/05/2019 16:19;3700;879046896;1;0
4;50000;Sondagem Quadratica;15/05/2019 16:19;4100;879046896;1;0
4;50000;Duplo Hashing;15/05/2019 16:19;4800;879063296;1;0
4;50000;Encadeamento Separado;15/05/2019 16:19;7100;879399040;1;0
4;50000;Encadeamento Coalescido;15/05/2019 16:19;6200;879399040;1;0
4;100000;Sondagem Linear;15/05/2019 16:19;4300;879399040;1;0
4;100000;Sondagem Quadratica;15/05/2019 16:19;5800;879399040;1;0
4;100000;Duplo Hashing;15/05/2019 16:19;7300;879399040;1;0
4;100000;Encadeamento Separado;15/05/2019 16:19;4100;879399040;1;0
4;100000;Encadeamento Coalescido;15/05/2019 16:19;4700;879742792;1;0
4;500000;Sondagem Linear;15/05/2019 16:19;10300;879742792;1;0
4;500000;Sondagem Quadratica;15/05/2019 16:19;5400;879742792;1;0
4;500000;Duplo Hashing;15/05/2019 16:19;5900;879742792;1;0
4;500000;Encadeamento Separado;15/05/2019 16:19;4900;879742792;1;0
4;500000;Encadeamento Coalescido;15/05/2019 16:19;6400;879742792;1;0
4;1000000;Sondagem Linear;15/05/2019 16:19;4600;880086544;1;0
4;1000000;Sondagem Quadratica;15/05/2019 16:19;3700;880086544;1;0
4;1000000;Duplo Hashing;15/05/2019 16:19;5700;880086544;1;0
4;1000000;Encadeamento Separado;15/05/2019 16:19;5300;880086544;1;0
4;1000000;Encadeamento Coalescido;15/05/2019 16:19;8700;880086544;1;0
5;1000;Sondagem Linear;15/05/2019 16:19;5600;880086544;1;0
5;1000;Sondagem Quadratica;15/05/2019 16:19;4100;880430296;1;0
5;1000;Duplo Hashing;15/05/2019 16:19;4600;880430296;1;0
5;1000;Encadeamento Separado;15/05/2019 16:19;5800;880430296;1;0
5;1000;Encadeamento Coalescido;15/05/2019 16:19;7200;880430296;1;0
5;5000;Sondagem Linear;15/05/2019 16:19;8100;880430296;1;0
5;5000;Sondagem Quadratica;15/05/2019 16:19;5900;880430296;1;0
5;5000;Duplo Hashing;15/05/2019 16:19;3800;880774048;1;0
5;5000;Encadeamento Separado;15/05/2019 16:19;5000;880774048;1;0
5;5000;Encadeamento Coalescido;15/05/2019 16:19;9800;880774048;1;0
5;10000;Sondagem Linear;15/05/2019 16:19;5600;880774048;1;0
5;10000;Sondagem Quadratica;15/05/2019 16:19;4500;880774048;1;0
5;10000;Duplo Hashing;15/05/2019 16:19;4000;880774048;1;0
5;10000;Encadeamento Separado;15/05/2019 16:19;55600;881117800;1;0
5;10000;Encadeamento Coalescido;15/05/2019 16:19;5400;881117800;1;0
5;50000;Sondagem Linear;15/05/2019 16:19;9000;881117800;1;0
5;50000;Sondagem Quadratica;15/05/2019 16:19;6000;881117800;1;0
5;50000;Duplo Hashing;15/05/2019 16:19;4400;881117800;1;0
5;50000;Encadeamento Separado;15/05/2019 16:19;6600;881117800;1;0
5;50000;Encadeamento Coalescido;15/05/2019 16:19;46400;881461552;1;0
5;100000;Sondagem Linear;15/05/2019 16:19;5600;881461552;1;0
5;100000;Sondagem Quadratica;15/05/2019 16:19;5200;881461552;1;0
5;100000;Duplo Hashing;15/05/2019 16:19;6500;881461552;1;0
5;100000;Encadeamento Separado;15/05/2019 16:19;6200;881461552;1;0
5;100000;Encadeamento Coalescido;15/05/2019 16:19;7400;881461552;1;0
5;500000;Sondagem Linear;15/05/2019 16:19;5700;881805304;1;0
5;500000;Sondagem Quadratica;15/05/2019 16:19;4800;881805304;1;0
5;500000;Duplo Hashing;15/05/2019 16:19;4300;881805304;1;0
5;500000;Encadeamento Separado;15/05/2019 16:19;4100;881805304;1;0
5;500000;Encadeamento Coalescido;15/05/2019 16:19;8900;881805304;1;0
5;1000000;Sondagem Linear;15/05/2019 16:19;6800;881805304;1;0
5;1000000;Sondagem Quadratica;15/05/2019 16:19;14600;882149056;1;0
5;1000000;Duplo Hashing;15/05/2019 16:19;5200;882149056;1;0
5;1000000;Encadeamento Separado;15/05/2019 16:19;22400;882149056;1;0
5;1000000;Encadeamento Coalescido;15/05/2019 16:19;9000;882149056;1;0
1;1000;Sondagem Linear;15/05/2019 16:34;13889899;910503520;24488;22927
1;1000;Sondagem Quadratica;15/05/2019 16:34;10030700;910503520;52447;50886
1;1000;Duplo Hashing;15/05/2019 16:34;2208700;910503520;1561;0
1;1000;Encadeamento Separado;15/05/2019 16:34;3128300;910503520;1561;780
1;1000;Encadeamento Coalescido;15/05/2019 16:34;12093800;910519920;127790;125847
1;5000;Sondagem Linear;15/05/2019 16:35;52384200;876432248;222021;217214
1;5000;Sondagem Quadratica;15/05/2019 16:35;42680600;876432248;26314;21507
1;5000;Duplo Hashing;15/05/2019 16:35;46329200;876432248;4807;0
1;5000;Encadeamento Separado;15/05/2019 16:35;44465200;876432248;4807;2403
1;5000;Encadeamento Coalescido;15/05/2019 16:35;40711300;879077528;1029779;1023877
1;10000;Sondagem Linear;15/05/2019 16:36;125257699;813290920;478914;471869
1;10000;Sondagem Quadratica;15/05/2019 16:36;79241000;813290920;80391;73346
1;10000;Duplo Hashing;15/05/2019 16:36;122464700;813290920;7045;0
1;10000;Encadeamento Separado;15/05/2019 16:36;94599399;817494232;7045;3522
1;10000;Encadeamento Coalescido;15/05/2019 16:36;95134401;817494232;2114067;2105486
1;50000;Sondagem Linear;15/05/2019 17:02;529077700;876457728;2867759;2853208
1;50000;Sondagem Quadratica;15/05/2019 17:02;495077300;876457728;155348;140797
1;50000;Duplo Hashing;15/05/2019 17:02;493378800;876457728;14551;0
1;50000;Encadeamento Separado;15/05/2019 17:02;493061500;876457728;14551;7275
1;50000;Encadeamento Coalescido;15/05/2019 17:02;602098500;876457728;6900237;6882929
